pkey,created_on,last_updated_on,version,balls,max_overs,inn_num,runs,src_id,wickets,batting_team_pkey,fielding_team_pkey,match_pkey
42,"2021-02-14 23:33:16",NULL,0,83,NULL,2,140,94115,2,3,7,21
43,"2021-02-14 23:33:19",NULL,0,120,NULL,1,150,94130,4,4,8,22
44,"2021-02-14 23:33:19",NULL,0,119,NULL,2,151,94132,4,8,4,22
45,"2021-02-14 23:33:22",NULL,0,120,NULL,1,108,94133,9,3,1,23
46,"2021-02-14 23:33:22",NULL,0,104,NULL,2,111,94134,3,1,3,23
47,"2021-02-14 23:33:25",NULL,0,120,NULL,1,197,94145,4,8,5,24
48,"2021-02-14 23:33:25",NULL,0,120,NULL,2,198,94148,7,5,8,24
49,"2021-02-14 23:33:27",NULL,0,120,NULL,1,151,94167,7,7,1,25
50,"2021-02-14 23:33:27",NULL,0,120,NULL,2,155,94169,6,1,7,25
51,"2021-02-14 23:33:30",NULL,0,120,NULL,1,178,94179,7,3,6,26
52,"2021-02-14 23:33:30",NULL,0,113,NULL,2,180,94183,3,6,3,26
53,"2021-02-14 23:33:33",NULL,0,120,NULL,1,187,94188,5,5,7,27
54,"2021-02-14 23:33:33",NULL,0,117,NULL,2,188,94189,6,7,5,27
55,"2021-02-14 23:33:35",NULL,0,120,NULL,1,173,94192,4,8,2,28
56,"2021-02-14 23:33:35",NULL,0,116,NULL,2,174,94197,2,2,8,28
57,"2021-02-14 23:33:38",NULL,0,120,NULL,1,161,94200,8,3,1,29
58,"2021-02-14 23:33:38",NULL,0,118,NULL,2,162,94202,5,1,3,29
59,"2021-02-14 23:33:40",NULL,0,120,NULL,1,155,94206,7,6,4,30
60,"2021-02-14 23:33:40",NULL,0,113,NULL,2,116,94212,10,4,6,30
61,"2021-02-14 23:33:43",NULL,0,120,NULL,1,171,94219,7,2,5,31
62,"2021-02-14 23:33:43",NULL,0,114,NULL,2,172,94220,5,5,2,31
63,"2021-02-14 23:33:45",NULL,0,120,NULL,1,182,94225,6,8,7,32
64,"2021-02-14 23:33:45",NULL,0,120,NULL,2,170,94227,7,7,8,32
65,"2021-02-14 23:33:48",NULL,0,120,NULL,1,132,94246,5,1,4,33
66,"2021-02-14 23:33:48",NULL,0,101,NULL,2,137,94248,4,4,1,33
67,"2021-02-14 23:33:52",NULL,0,120,NULL,1,168,94251,5,5,6,34
68,"2021-02-14 23:33:52",NULL,0,120,NULL,2,128,94253,9,6,5,34
69,"2021-02-14 23:33:55",NULL,0,120,NULL,1,213,94276,4,2,3,35
70,"2021-02-14 23:33:55",NULL,0,120,NULL,2,203,94278,5,3,2,35
71,"2021-02-14 23:33:58",NULL,0,120,NULL,1,161,94284,5,5,7,36
72,"2021-02-14 23:33:58",NULL,0,115,NULL,2,162,94288,5,7,5,36
73,"2021-02-14 23:34:01",NULL,0,120,NULL,1,163,94289,7,8,6,37
74,"2021-02-14 23:34:01",NULL,0,118,NULL,2,166,94291,5,6,8,37
75,"2021-02-14 23:34:06",NULL,0,120,NULL,1,159,94311,8,3,4,38
76,"2021-02-14 23:34:06",NULL,0,90,NULL,2,161,94315,1,4,3,38
77,"2021-02-14 23:34:09",NULL,0,120,NULL,1,161,94323,7,2,1,39
78,"2021-02-14 23:34:09",NULL,0,120,NULL,2,160,94324,8,1,2,39
79,"2021-02-14 23:34:13",NULL,0,120,NULL,1,191,94325,6,7,6,40
80,"2021-02-14 23:34:13",NULL,0,116,NULL,2,193,94326,4,6,7,40
81,"2021-02-14 23:34:15",NULL,0,120,NULL,1,175,94347,3,4,1,41
82,"2021-02-14 23:34:15",NULL,0,119,NULL,2,176,94348,4,1,4,41
83,"2021-02-14 23:34:18",NULL,0,120,NULL,1,202,94362,4,2,8,42
84,"2021-02-14 23:34:18",NULL,0,120,NULL,2,185,94366,7,8,2,42
85,"2021-02-14 23:34:22",NULL,0,120,NULL,1,175,94372,6,3,7,43
86,"2021-02-14 23:34:22",NULL,0,116,NULL,2,177,94373,7,7,3,43
87,"2021-02-14 23:34:25",NULL,0,120,NULL,1,155,94390,4,5,1,44
88,"2021-02-14 23:34:25",NULL,0,106,NULL,2,109,94395,10,1,5,44
89,"2021-02-14 23:34:28",NULL,0,120,NULL,1,160,94409,8,4,7,45
90,"2021-02-14 23:34:28",NULL,0,115,NULL,2,161,94411,3,7,4,45
91,"2021-02-14 23:34:31",NULL,0,120,NULL,1,187,94419,5,6,2,46
92,"2021-02-14 23:34:31",NULL,0,120,NULL,2,171,94420,7,2,6,46
93,"2021-02-14 23:34:33",NULL,0,120,NULL,1,232,94434,2,3,5,47
94,"2021-02-14 23:34:33",NULL,0,120,NULL,2,198,94435,7,5,3,47
95,"2021-02-14 23:34:37",NULL,0,120,NULL,1,212,94438,6,4,8,48
96,"2021-02-14 23:34:37",NULL,0,120,NULL,2,167,94439,8,8,4,48
97,"2021-02-14 23:34:40",NULL,0,30,NULL,1,62,94450,7,2,7,49
98,"2021-02-14 23:34:40",NULL,0,20,NULL,2,41,94451,1,7,2,49
99,"2021-02-14 23:34:43",NULL,0,120,NULL,1,179,94459,4,1,6,50
100,"2021-02-14 23:34:43",NULL,0,98,NULL,2,99,94463,10,6,1,50
101,"2021-02-14 23:34:46",NULL,0,120,NULL,1,162,94473,5,5,4,51
102,"2021-02-14 23:34:46",NULL,0,120,NULL,2,162,94475,6,4,5,51
103,"2021-02-14 23:34:50",NULL,0,120,NULL,1,183,94477,6,8,3,52
104,"2021-02-14 23:34:50",NULL,0,108,NULL,2,185,94479,3,3,8,52
105,"2021-02-14 23:34:52",NULL,0,120,NULL,1,115,94483,9,7,6,53
106,"2021-02-14 23:34:52",NULL,0,97,NULL,2,121,94484,5,6,7,53
107,"2021-02-14 23:34:55",NULL,0,120,NULL,1,175,94488,7,4,2,54
108,"2021-02-14 23:34:55",NULL,0,116,NULL,2,178,94489,6,2,4,54
109,"2021-02-14 23:34:58",NULL,0,120,NULL,1,170,94495,5,1,8,55
110,"2021-02-14 23:34:58",NULL,0,108,NULL,2,173,94496,4,8,1,55
111,"2021-02-14 23:35:00",NULL,0,120,NULL,1,133,94505,7,3,5,56
112,"2021-02-14 23:35:00",NULL,0,97,NULL,2,134,94507,1,5,3,56
113,"2021-02-14 23:35:06",NULL,0,120,NULL,1,131,94526,4,1,5,57
114,"2021-02-14 23:35:06",NULL,0,111,NULL,2,132,94530,4,5,1,57
115,"2021-02-14 23:35:09",NULL,0,120,NULL,1,162,94538,8,4,6,58
116,"2021-02-14 23:35:09",NULL,0,119,NULL,2,165,94539,8,6,4,58
117,"2021-02-14 23:35:11",NULL,0,120,NULL,1,147,94611,9,6,1,59
118,"2021-02-14 23:35:11",NULL,0,114,NULL,2,151,94614,4,1,6,59
119,"2021-02-14 23:35:13",NULL,0,120,NULL,1,149,94633,8,5,1,60
120,"2021-02-14 23:35:13",NULL,0,120,NULL,2,148,94635,7,1,5,60
121,"2021-02-14 23:35:18",NULL,0,120,NULL,1,162,103095,9,5,1,61
122,"2021-02-14 23:35:18",NULL,0,116,NULL,2,166,103097,5,1,5,61
123,"2021-02-14 23:35:23",NULL,0,120,NULL,1,157,103124,8,6,8,62
124,"2021-02-14 23:35:23",NULL,0,120,NULL,2,157,103125,8,8,6,62
125,"2021-02-14 23:35:29",NULL,0,120,NULL,1,163,103136,5,2,4,63
126,"2021-02-14 23:35:29",NULL,0,118,NULL,2,153,103138,10,4,2,63
127,"2021-02-14 23:35:33",NULL,0,120,NULL,1,216,103154,7,7,1,64
128,"2021-02-14 23:35:33",NULL,0,120,NULL,2,200,103157,6,1,7,64
129,"2021-02-14 23:35:37",NULL,0,120,NULL,1,195,103171,5,5,3,65
130,"2021-02-14 23:35:37",NULL,0,120,NULL,2,146,103174,9,3,5,65
131,"2021-02-14 23:35:40",NULL,0,120,NULL,1,206,103189,3,8,2,66
132,"2021-02-14 23:35:40",NULL,0,102,NULL,2,109,103192,10,2,8,66
133,"2021-02-14 23:35:44",NULL,0,120,NULL,1,175,103204,3,6,1,67
134,"2021-02-14 23:35:44",NULL,0,120,NULL,2,131,103207,7,1,6,67
135,"2021-02-14 23:35:48",NULL,0,120,NULL,1,142,103218,4,4,3,68
136,"2021-02-14 23:35:48",NULL,0,108,NULL,2,145,103220,3,3,4,68
137,"2021-02-14 23:35:51",NULL,0,120,NULL,1,223,103232,2,8,7,69
138,"2021-02-14 23:35:51",NULL,0,117,NULL,2,226,103233,6,7,8,69
139,"2021-02-14 23:35:55",NULL,0,120,NULL,1,201,103247,3,2,5,70
140,"2021-02-14 23:35:55",NULL,0,120,NULL,2,201,103251,5,5,2,70
141,"2021-02-14 23:35:59",NULL,0,120,NULL,1,162,103267,4,4,6,71
142,"2021-02-14 23:35:59",NULL,0,120,NULL,2,147,103270,7,6,4,71
143,"2021-02-14 23:36:02",NULL,0,120,NULL,1,174,103286,6,3,7,72
144,"2021-02-14 23:36:02",NULL,0,120,NULL,2,137,103290,9,7,3,72
145,"2021-02-14 23:36:06",NULL,0,120,NULL,1,191,103314,4,5,8,73
146,"2021-02-14 23:36:06",NULL,0,120,NULL,2,143,103319,8,8,5,73
147,"2021-02-14 23:36:09",NULL,0,120,NULL,1,164,103333,5,4,1,74
148,"2021-02-14 23:36:09",NULL,0,120,NULL,2,157,103337,5,1,4,74
149,"2021-02-14 23:36:15",NULL,0,120,NULL,1,154,103344,6,7,2,75
150,"2021-02-14 23:36:15",NULL,0,115,NULL,2,158,103347,2,2,7,75
151,"2021-02-14 23:36:18",NULL,0,120,NULL,1,228,103348,4,6,3,76
152,"2021-02-14 23:36:18",NULL,0,120,NULL,2,210,103350,8,3,6,76
153,"2021-02-14 23:36:21",NULL,0,120,NULL,1,208,103355,5,5,4,77
154,"2021-02-14 23:36:21",NULL,0,120,NULL,2,174,103356,7,4,5,77
155,"2021-02-14 23:36:23",NULL,0,120,NULL,1,178,103358,4,8,1,78
156,"2021-02-14 23:36:23",NULL,0,106,NULL,2,181,103362,0,1,8,78
157,"2021-02-14 23:36:25",NULL,0,120,NULL,1,196,103378,4,6,2,79
158,"2021-02-14 23:36:25",NULL,0,120,NULL,2,137,103380,9,2,6,79
159,"2021-02-14 23:36:27",NULL,0,120,NULL,1,193,103390,4,5,7,80
160,"2021-02-14 23:36:27",NULL,0,109,NULL,2,136,103392,10,7,5,80
161,"2021-02-14 23:36:29",NULL,0,120,NULL,1,167,103402,10,3,1,81
162,"2021-02-14 23:36:29",NULL,0,120,NULL,2,157,103403,5,1,3,81
163,"2021-02-14 23:36:31",NULL,0,120,NULL,1,201,103412,6,4,8,82
164,"2021-02-14 23:36:31",NULL,0,101,NULL,2,132,103413,10,8,4,82
165,"2021-02-14 23:36:33",NULL,0,120,NULL,1,184,103422,8,6,7,83
166,"2021-02-14 23:36:33",NULL,0,118,NULL,2,138,103424,10,7,6,83
167,"2021-02-14 23:36:35",NULL,0,120,NULL,1,164,103433,6,3,8,84
168,"2021-02-14 23:36:35",NULL,0,120,NULL,2,162,103435,5,8,3,84
169,"2021-02-14 23:36:37",NULL,0,120,NULL,1,169,103437,4,2,1,85
170,"2021-02-14 23:36:37",NULL,0,120,NULL,2,132,103439,8,1,2,85
171,"2021-02-14 23:36:39",NULL,0,120,NULL,1,158,103448,4,4,7,86
172,"2021-02-14 23:36:39",NULL,0,119,NULL,2,163,103450,5,7,4,86
173,"2021-02-14 23:36:40",NULL,0,120,NULL,1,162,103453,4,6,5,87
174,"2021-02-14 23:36:40",NULL,0,118,NULL,2,166,103455,5,5,6,87
175,"2021-02-14 23:36:44",NULL,0,120,NULL,1,194,103469,2,2,3,88
176,"2021-02-14 23:36:44",NULL,0,120,NULL,2,112,103473,9,3,2,88
177,"2021-02-14 23:36:46",NULL,0,120,NULL,1,167,103488,6,1,4,89
178,"2021-02-14 23:36:46",NULL,0,120,NULL,2,147,103492,8,4,1,89
179,"2021-02-14 23:36:48",NULL,0,120,NULL,1,161,103504,7,6,7,90
180,"2021-02-14 23:36:48",NULL,0,120,NULL,2,148,103508,8,7,6,90
181,"2021-02-14 23:36:50",NULL,0,120,NULL,1,171,103522,6,2,8,91
182,"2021-02-14 23:36:50",NULL,0,120,NULL,2,177,103525,2,8,2,91
183,"2021-02-14 23:36:52",NULL,0,120,NULL,1,148,103540,5,3,5,92
184,"2021-02-14 23:36:52",NULL,0,101,NULL,2,149,103543,2,5,3,92
185,"2021-02-14 23:36:53",NULL,0,120,NULL,1,177,103549,6,7,2,93
186,"2021-02-14 23:36:53",NULL,0,118,NULL,2,179,103555,3,2,7,93
187,"2021-02-14 23:36:55",NULL,0,120,NULL,1,179,103558,4,1,6,94
188,"2021-02-14 23:36:55",NULL,0,119,NULL,2,185,103560,5,6,1,94
189,"2021-02-14 23:36:57",NULL,0,120,NULL,1,163,103570,5,3,4,95
190,"2021-02-14 23:36:57",NULL,0,120,NULL,2,163,103571,6,4,3,95
191,"2021-02-14 23:36:59",NULL,0,120,NULL,1,176,103572,6,5,8,96
192,"2021-02-14 23:36:59",NULL,0,120,NULL,2,176,103577,6,8,5,96
193,"2021-02-14 23:37:01",NULL,0,120,NULL,1,125,103599,5,1,7,97
194,"2021-02-14 23:37:01",NULL,0,105,NULL,2,126,103601,3,7,1,97
195,"2021-02-14 23:37:04",NULL,0,120,NULL,1,164,103615,5,6,8,98
196,"2021-02-14 23:37:04",NULL,0,114,NULL,2,167,103618,5,8,6,98
197,"2021-02-14 23:37:06",NULL,0,120,NULL,1,84,103633,8,3,2,99
198,"2021-02-14 23:37:06",NULL,0,81,NULL,2,85,103635,2,2,3,99
199,"2021-02-14 23:37:08",NULL,0,120,NULL,1,154,103655,6,7,4,100
200,"2021-02-14 23:37:08",NULL,0,109,NULL,2,156,103658,2,4,7,100
201,"2021-02-14 23:37:10",NULL,0,120,NULL,1,114,103669,9,1,5,101
202,"2021-02-14 23:37:10",NULL,0,74,NULL,2,116,103672,0,5,1,101
203,"2021-02-14 23:37:12",NULL,0,120,NULL,1,194,103678,6,3,6,102
204,"2021-02-14 23:37:12",NULL,0,120,NULL,2,135,103679,9,6,3,102
205,"2021-02-14 23:37:14",NULL,0,120,NULL,1,126,103680,7,8,4,103
206,"2021-02-14 23:37:14",NULL,0,119,NULL,2,114,103681,10,4,8,103
207,"2021-02-14 23:37:16",NULL,0,120,NULL,1,145,103696,6,2,1,104
208,"2021-02-14 23:37:16",NULL,0,112,NULL,2,150,103699,2,1,2,104
209,"2021-02-14 23:37:18",NULL,0,120,NULL,1,195,103705,5,5,7,105
210,"2021-02-14 23:37:18",NULL,0,110,NULL,2,196,103706,2,7,5,105
211,"2021-02-14 23:37:20",NULL,0,120,NULL,1,149,103724,9,3,8,106
212,"2021-02-14 23:37:20",NULL,0,113,NULL,2,150,103727,2,8,3,106
213,"2021-02-14 23:37:22",NULL,0,120,NULL,1,219,103740,2,4,6,107
214,"2021-02-14 23:37:22",NULL,0,114,NULL,2,131,103743,10,6,4,107
215,"2021-02-14 23:37:24",NULL,0,120,NULL,1,164,103762,6,2,5,108
216,"2021-02-14 23:37:24",NULL,0,115,NULL,2,166,103765,5,5,2,108
217,"2021-02-14 23:37:25",NULL,0,120,NULL,1,172,103779,5,3,1,109
218,"2021-02-14 23:37:25",NULL,0,120,NULL,2,178,103782,4,1,3,109
219,"2021-02-14 23:37:28",NULL,0,120,NULL,1,185,103803,4,8,7,110
220,"2021-02-14 23:37:28",NULL,0,106,NULL,2,186,103806,3,7,8,110
221,"2021-02-14 23:37:29",NULL,0,120,NULL,1,110,103818,9,6,5,111
222,"2021-02-14 23:37:29",NULL,0,86,NULL,2,111,103819,1,5,6,111
223,"2021-02-14 23:37:32",NULL,0,120,NULL,1,120,103822,7,2,4,112
224,"2021-02-14 23:37:32",NULL,0,85,NULL,2,121,103823,5,4,2,112
225,"2021-02-14 23:37:34",NULL,0,120,NULL,1,153,103845,6,8,1,113
226,"2021-02-14 23:37:34",NULL,0,113,NULL,2,154,103847,1,1,8,113
227,"2021-02-14 23:37:36",NULL,0,120,NULL,1,191,103849,7,3,7,114
228,"2021-02-14 23:37:36",NULL,0,120,NULL,2,131,103850,9,7,3,114
229,"2021-02-14 23:37:38",NULL,0,120,NULL,1,152,103866,7,2,6,115
230,"2021-02-14 23:37:38",NULL,0,114,NULL,2,154,103869,4,6,2,115
231,"2021-02-14 23:37:40",NULL,0,120,NULL,1,149,103898,8,5,4,116
232,"2021-02-14 23:37:40",NULL,0,103,NULL,2,151,103901,0,4,5,116
233,"2021-02-14 23:37:42",NULL,0,120,NULL,1,200,103941,5,5,6,117
234,"2021-02-14 23:37:42",NULL,0,120,NULL,2,143,103944,8,6,5,117
235,"2021-02-14 23:37:44",NULL,0,120,NULL,1,131,103953,7,2,4,118
236,"2021-02-14 23:37:44",NULL,0,118,NULL,2,132,103956,4,4,2,118
237,"2021-02-14 23:37:46",NULL,0,120,NULL,1,189,104016,3,6,4,119
238,"2021-02-14 23:37:46",NULL,0,120,NULL,2,172,104019,8,4,6,119
239,"2021-02-14 23:37:48",NULL,0,120,NULL,1,156,104069,7,6,5,120
240,"2021-02-14 23:37:48",NULL,0,112,NULL,2,157,104073,5,5,6,120
241,"2021-02-14 23:37:54",NULL,0,120,NULL,1,165,87486,4,5,1,121
242,"2021-02-14 23:37:54",NULL,0,119,NULL,2,169,87487,9,1,5,121
243,"2021-02-14 23:37:59",NULL,0,120,NULL,1,166,87488,7,6,8,122
244,"2021-02-14 23:37:59",NULL,0,113,NULL,2,167,87489,4,8,6,122
245,"2021-02-14 23:38:06",NULL,0,120,NULL,1,176,87490,7,2,3,123
246,"2021-02-14 23:38:06",NULL,0,113,NULL,2,177,87491,6,3,2,123
247,"2021-02-14 23:38:12",NULL,0,120,NULL,1,125,87494,9,7,4,124
248,"2021-02-14 23:38:12",NULL,0,95,NULL,2,127,87495,1,4,7,124
249,"2021-02-14 23:38:14",NULL,0,120,NULL,1,202,87498,6,3,1,125
250,"2021-02-14 23:38:14",NULL,0,119,NULL,2,205,87499,5,1,3,125
251,"2021-02-14 23:38:17",NULL,0,107,NULL,1,153,87502,5,7,6,126
252,"2021-02-14 23:38:17",NULL,0,36,NULL,2,60,87503,4,6,7,126
253,"2021-02-14 23:38:19",NULL,0,120,NULL,1,147,87507,8,5,4,127
254,"2021-02-14 23:38:19",NULL,0,120,NULL,2,151,87508,9,4,5,127
255,"2021-02-14 23:38:21",NULL,0,116,NULL,1,155,87513,10,8,2,128
256,"2021-02-14 23:38:21",NULL,0,117,NULL,2,159,87515,6,2,8,128
257,"2021-02-14 23:38:22",NULL,0,120,NULL,1,194,87517,7,5,6,129
258,"2021-02-14 23:38:22",NULL,0,120,NULL,2,195,87520,3,6,5,129
259,"2021-02-14 23:38:24",NULL,0,120,NULL,1,138,87523,8,3,4,130
260,"2021-02-14 23:38:24",NULL,0,114,NULL,2,139,87527,5,4,3,130
261,"2021-02-14 23:38:25",NULL,0,120,NULL,1,217,87531,4,7,2,131
262,"2021-02-14 23:38:25",NULL,0,120,NULL,2,198,87533,6,2,7,131
263,"2021-02-14 23:38:27",NULL,0,120,NULL,1,197,87535,7,8,1,132
264,"2021-02-14 23:38:27",NULL,0,120,NULL,2,193,87537,5,1,8,132
265,"2021-02-14 23:38:28",NULL,0,120,NULL,1,200,87540,9,3,6,133
266,"2021-02-14 23:38:28",NULL,0,86,NULL,2,129,87541,10,6,3,133
267,"2021-02-14 23:38:29",NULL,0,120,NULL,1,213,87545,6,5,2,134
268,"2021-02-14 23:38:29",NULL,0,120,NULL,2,167,87546,8,2,5,134
269,"2021-02-14 23:38:31",NULL,0,120,NULL,1,160,87549,8,7,3,135
270,"2021-02-14 23:38:31",NULL,0,113,NULL,2,163,87550,3,3,7,135
271,"2021-02-14 23:38:33",NULL,0,120,NULL,1,193,87552,3,8,4,136
272,"2021-02-14 23:38:33",NULL,0,120,NULL,2,178,87553,4,4,8,136
273,"2021-02-14 23:38:35",NULL,0,120,NULL,1,204,87566,5,1,7,137
274,"2021-02-14 23:38:35",NULL,0,111,NULL,2,140,87572,10,7,1,137
275,"2021-02-14 23:38:37",NULL,0,120,NULL,1,191,87576,7,3,8,138
276,"2021-02-14 23:38:37",NULL,0,67,NULL,2,126,87577,1,8,3,138
277,"2021-02-14 23:38:39",NULL,0,120,NULL,1,174,87584,5,6,2,139
278,"2021-02-14 23:38:39",NULL,0,108,NULL,2,176,87585,4,2,6,139
279,"2021-02-14 23:38:41",NULL,0,120,NULL,1,182,87589,3,1,4,140
280,"2021-02-14 23:38:41",NULL,0,120,NULL,2,178,87590,6,4,1,140
281,"2021-02-14 23:38:43",NULL,0,120,NULL,1,167,87593,7,5,7,141
282,"2021-02-14 23:38:43",NULL,0,118,NULL,2,168,87596,7,7,5,141
283,"2021-02-14 23:38:45",NULL,0,120,NULL,1,143,87598,8,8,6,142
284,"2021-02-14 23:38:45",NULL,0,120,NULL,2,139,87600,8,6,8,142
285,"2021-02-14 23:38:47",NULL,0,112,NULL,1,118,87604,10,4,5,143
286,"2021-02-14 23:38:47",NULL,0,113,NULL,2,87,87605,10,5,4,143
287,"2021-02-14 23:38:49",NULL,0,120,NULL,1,205,87608,8,2,1,144
288,"2021-02-14 23:38:49",NULL,0,118,NULL,2,207,87609,5,1,2,144
289,"2021-02-14 23:38:54",NULL,0,120,NULL,1,132,87610,6,4,8,145
290,"2021-02-14 23:38:54",NULL,0,116,NULL,2,119,87611,10,8,4,145
291,"2021-02-14 23:38:56",NULL,0,120,NULL,1,219,87616,4,6,3,146
292,"2021-02-14 23:38:56",NULL,0,120,NULL,2,164,87617,9,3,6,146
293,"2021-02-14 23:38:59",NULL,0,120,NULL,1,169,87622,5,1,5,147
294,"2021-02-14 23:38:59",NULL,0,118,NULL,2,170,87623,2,5,1,147
295,"2021-02-14 23:39:02",NULL,0,120,NULL,1,151,87627,7,4,7,148
296,"2021-02-14 23:39:02",NULL,0,120,NULL,2,140,87629,6,7,4,148
297,"2021-02-14 23:39:07",NULL,0,120,NULL,1,175,87635,4,2,3,149
298,"2021-02-14 23:39:07",NULL,0,115,NULL,2,176,87636,4,3,2,149
299,"2021-02-14 23:39:09",NULL,0,120,NULL,1,211,87641,4,1,6,150
300,"2021-02-14 23:39:09",NULL,0,120,NULL,2,198,87642,5,6,1,150
301,"2021-02-14 23:39:14",NULL,0,120,NULL,1,167,87643,7,2,5,151
302,"2021-02-14 23:39:14",NULL,0,120,NULL,2,153,87644,7,5,2,151
303,"2021-02-14 23:39:17",NULL,0,103,NULL,1,196,87645,6,6,7,152
304,"2021-02-14 23:39:17",NULL,0,72,NULL,2,146,87646,5,7,6,152
305,"2021-02-14 23:39:20",NULL,0,120,NULL,1,177,87648,5,1,3,153
306,"2021-02-14 23:39:20",NULL,0,106,NULL,2,180,87649,4,3,1,153
307,"2021-02-14 23:39:22",NULL,0,120,NULL,1,174,87664,6,8,5,154
308,"2021-02-14 23:39:22",NULL,0,114,NULL,2,176,87668,4,5,8,154
309,"2021-02-14 23:39:24",NULL,0,120,NULL,1,127,87669,9,2,1,155
310,"2021-02-14 23:39:24",NULL,0,108,NULL,2,128,87673,4,1,2,155
311,"2021-02-14 23:39:26",NULL,0,120,NULL,1,163,87675,5,6,4,156
312,"2021-02-14 23:39:26",NULL,0,119,NULL,2,164,87680,3,4,6,156
313,"2021-02-14 23:39:28",NULL,0,120,NULL,1,181,87684,4,5,3,157
314,"2021-02-14 23:39:28",NULL,0,120,NULL,2,168,87687,6,3,5,157
315,"2021-02-14 23:39:30",NULL,0,120,NULL,1,152,87689,9,7,8,158
316,"2021-02-14 23:39:30",NULL,0,112,NULL,2,155,87700,4,8,7,158
317,"2021-02-14 23:39:32",NULL,0,120,NULL,1,146,87702,10,4,2,159
318,"2021-02-14 23:39:32",NULL,0,120,NULL,2,141,87704,6,2,4,159
319,"2021-02-14 23:39:34",NULL,0,120,NULL,1,158,87709,8,7,8,160
320,"2021-02-14 23:39:34",NULL,0,120,NULL,2,143,87710,7,8,7,160
321,"2021-02-14 23:39:36",NULL,0,120,NULL,1,210,87713,6,5,3,161
322,"2021-02-14 23:39:36",NULL,0,109,NULL,2,108,87714,10,3,5,161
